"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 24, 2020","41.48","41.07","41.48","40.00","706.26K","3.21%"
"Aug 23, 2020","40.19","40.19","40.19","40.19","-","0.00%"
"Aug 21, 2020","40.19","40.58","40.99","39.40","779.20K","-2.17%"
"Aug 20, 2020","41.08","40.30","41.60","40.22","822.28K","-1.30%"
"Aug 19, 2020","41.62","41.92","42.85","41.50","766.22K","-0.02%"
"Aug 18, 2020","41.63","42.74","42.74","41.10","833.66K","-2.78%"
"Aug 17, 2020","42.82","42.55","42.89","41.93","406.68K","1.57%"
"Aug 14, 2020","42.16","41.56","42.70","41.17","831.15K","-0.38%"
"Aug 13, 2020","42.32","42.03","43.25","41.85","836.57K","-0.45%"
"Aug 12, 2020","42.51","43.46","43.54","41.80","1.07M","1.19%"
"Aug 11, 2020","42.01","44.00","44.40","41.49","1.77M","-1.80%"
"Aug 10, 2020","42.78","41.90","43.58","41.89","1.45M","3.08%"
"Aug 09, 2020","41.50","41.50","41.50","41.50","-","0.00%"
"Aug 08, 2020","41.50","41.50","41.50","41.50","-","0.00%"
"Aug 07, 2020","41.50","39.22","41.50","39.22","2.07M","4.77%"
"Aug 06, 2020","39.61","39.46","40.14","39.00","1.05M","-0.05%"
"Aug 05, 2020","39.63","38.48","39.69","38.17","1.06M","5.96%"
"Aug 04, 2020","37.40","36.72","37.50","36.14","1.12M","1.85%"
"Aug 03, 2020","36.72","35.50","36.78","34.93","1.60M","5.12%"
"Aug 02, 2020","34.93","34.93","34.93","34.93","-","0.00%"
"Jul 31, 2020","34.93","35.56","35.71","33.03","1.76M","-2.92%"
"Jul 30, 2020","35.98","34.70","36.18","34.21","1.23M","-1.13%"
"Jul 29, 2020","36.39","34.77","36.44","34.77","1.10M","6.50%"
"Jul 28, 2020","34.17","34.94","35.50","34.11","671.16K","-3.06%"
"Jul 27, 2020","35.25","34.13","35.25","33.70","1.01M","3.40%"
"Jul 26, 2020","34.09","34.09","34.09","34.09","-","0.00%"
"Jul 25, 2020","34.09","34.09","34.09","34.09","-","0.00%"
"Jul 24, 2020","34.09","35.21","35.21","33.81","1.75M","-4.54%"
"Jul 23, 2020","35.71","35.45","37.09","34.65","1.50M","0.28%"
"Jul 22, 2020","35.61","35.01","36.00","34.92","1.01M","0.31%"
"Jul 21, 2020","35.50","35.10","36.32","34.99","3.60M","4.08%"
"Jul 20, 2020","34.11","34.22","34.64","33.56","1.01M","-1.24%"
"Jul 17, 2020","34.54","34.56","35.25","33.80","1.24M","0.94%"
"Jul 16, 2020","34.22","34.05","34.51","33.41","1.69M","-1.95%"
"Jul 15, 2020","34.90","33.77","35.32","33.50","2.27M","10.97%"
"Jul 14, 2020","31.45","29.78","31.46","29.40","1.88M","5.08%"
"Jul 13, 2020","29.93","32.27","33.25","29.83","2.12M","-3.85%"
"Jul 12, 2020","31.13","31.13","31.13","31.13","-","0.00%"
"Jul 11, 2020","31.13","31.13","31.13","31.13","-","0.00%"
"Jul 10, 2020","31.13","29.84","31.20","29.35","1.69M","4.71%"
"Jul 09, 2020","29.73","31.76","31.80","28.50","2.69M","-6.01%"
"Jul 08, 2020","31.63","30.85","31.93","29.75","1.51M","2.56%"
"Jul 07, 2020","30.84","31.78","32.63","30.63","1.32M","-5.40%"
"Jul 06, 2020","32.60","33.76","33.97","32.33","1.88M","2.03%"
"Jul 05, 2020","31.95","31.95","31.95","31.95","-","0.00%"
"Jul 04, 2020","31.95","31.95","31.95","31.95","-","0.00%"
"Jul 02, 2020","31.95","33.37","33.85","31.64","1.91M","1.11%"
"Jul 01, 2020","31.60","32.72","33.39","31.22","2.13M","-3.01%"
"Jun 30, 2020","32.58","30.88","32.77","30.88","1.67M","4.26%"
"Jun 29, 2020","31.25","29.67","31.65","28.62","2.72M","10.04%"
"Jun 26, 2020","28.40","30.14","30.40","28.22","2.24M","-7.85%"
"Jun 25, 2020","30.82","28.85","30.83","28.21","2.64M","4.62%"
"Jun 24, 2020","29.46","31.33","31.66","28.16","2.31M","-9.83%"
"Jun 23, 2020","32.67","33.53","33.74","32.49","1.26M","1.08%"
"Jun 22, 2020","32.32","30.59","32.33","29.95","1.58M","3.29%"
"Jun 19, 2020","31.29","33.65","33.70","30.58","2.09M","-1.94%"
"Jun 18, 2020","31.91","30.66","32.77","30.66","1.81M","0.09%"
"Jun 17, 2020","31.88","33.70","34.06","31.65","1.88M","-5.46%"
"Jun 16, 2020","33.72","35.19","35.19","31.46","3.25M","7.01%"
"Jun 15, 2020","31.51","26.68","32.05","26.63","2.76M","7.07%"
"Jun 12, 2020","29.43","30.68","31.06","26.95","4.75M","6.82%"
"Jun 11, 2020","27.55","31.05","31.75","27.26","4.21M","-22.55%"
"Jun 10, 2020","35.57","38.43","38.69","35.36","2.97M","-8.18%"
"Jun 09, 2020","38.74","39.20","39.90","37.77","2.52M","-5.51%"
"Jun 08, 2020","41.00","40.44","41.19","39.87","2.69M","5.83%"
"Jun 07, 2020","38.74","38.74","38.74","38.74","-","0.00%"
"Jun 05, 2020","38.74","39.29","40.25","38.29","3.70M","11.67%"
"Jun 04, 2020","34.69","34.19","35.41","33.75","2.80M","-0.43%"
"Jun 03, 2020","34.84","34.05","35.70","33.82","2.49M","7.30%"
"Jun 02, 2020","32.47","32.35","32.82","31.41","2.06M","2.36%"
"Jun 01, 2020","31.72","31.10","32.67","30.72","1.88M","3.19%"
"May 29, 2020","30.74","30.44","31.10","29.15","2.51M","-2.10%"
"May 28, 2020","31.40","34.87","34.87","30.93","2.85M","-7.10%"
"May 27, 2020","33.80","32.79","34.05","30.00","3.44M","9.53%"
"May 26, 2020","30.86","31.73","31.91","30.72","2.98M","8.66%"
"May 22, 2020","28.40","28.28","28.56","27.29","2.24M","1.14%"
"May 21, 2020","28.08","27.90","28.53","27.02","3.76M","0.65%"
